Date,Close,Scaled_Close
2010-01-04,1132.989990234375,0.01853754212561881
2010-01-05,1136.52001953125,0.019130224697054887
2010-01-06,1137.1400146484375,0.019234320235485047
2010-01-07,1141.68994140625,0.019998240889926466
2010-01-08,1144.97998046875,0.020550629736504566
2010-01-11,1146.97998046875,0.020886424440509282
2010-01-12,1136.219970703125,0.01907984729334128
2010-01-13,1145.6800537109375,0.02066817018007555
2010-01-14,1148.4599609375,0.021134909242227634
2010-01-15,1136.030029296875,0.01904795663419631
2010-01-19,1150.22998046875,0.02143209083451697
2010-01-20,1138.0400390625,0.019385431951343624
2010-01-21,1116.47998046875,0.015765555204437204
2010-01-22,1091.760009765625,0.011615137581806545
2010-01-25,1096.780029296875,0.012457985568103541
2010-01-26,1092.1700439453125,0.011683981234806518
2010-01-27,1097.5,0.012578866742677525
2010-01-28,1084.530029296875,0.010401243006074617
2010-01-29,1073.8699951171875,0.008611451495050382
2010-02-01,1089.18994140625,0.011183629909802428
2010-02-02,1103.3199462890625,0.01355602031340708
2010-02-03,1097.280029296875,0.012541934244104741
2010-02-04,1063.1099853515625,0.006804874347882378
2010-02-05,1066.18994140625,0.007321990813748069
2010-02-08,1056.739990234375,0.005735369035438614
2010-02-09,1070.52001953125,0.008048999464898926
2010-02-10,1068.1300048828125,0.007647722334179402
2010-02-11,1078.469970703125,0.00938377521520481
2010-02-12,1075.510009765625,0.008886805611768134
2010-02-16,1094.8699951171875,0.012137295887100025
2010-02-17,1099.510009765625,0.012916342059824837
2010-02-18,1106.75,0.014131917248699388
2010-02-19,1109.1700439453125,0.0145382362188467
2010-02-22,1108.010009765625,0.014343469551844928
2010-02-23,1094.5999755859375,0.012091960322814232
2010-02-24,1105.239990234375,0.01387839060755322
2010-02-25,1102.93994140625,0.013492218499834896
2010-02-26,1104.489990234375,0.013752467593551448
2010-03-01,1115.7099609375,0.01563627096415024
2010-03-02,1118.31005859375,0.016072820475582172
2010-03-03,1118.7900390625,0.016153407925298152
2010-03-04,1122.969970703125,0.016855207379309955
2010-03-05,1138.699951171875,0.019496229447061975
2010-03-08,1138.5,0.01946265817477441
2010-03-09,1140.449951171875,0.01979004981306612
2010-03-10,1145.6099853515625,0.020656405888077323
2010-03-11,1150.239990234375,0.021433771447659566
2010-03-12,1149.989990234375,0.021391797109658967
2010-03-15,1150.510009765625,0.02147910701194536
2010-03-16,1159.4599609375,0.022981780114253614
2010-03-17,1166.2099609375,0.02411508724026956
2010-03-18,1165.8299560546875,0.024051285426697377
2010-03-19,1159.9000244140625,0.023055665606681403
2010-03-22,1165.81005859375,0.024047944695694407
2010-03-23,1174.1700439453125,0.02545156409900029
2010-03-24,1167.719970703125,0.0243686138814157
2010-03-25,1165.72998046875,0.024034499790553582
2010-03-26,1166.5899658203125,0.024178889053841746
2010-03-29,1173.219970703125,0.025292049317428705
2010-03-30,1173.27001953125,0.025300452383141714
2010-03-31,1169.4300537109375,0.024655732290131654
2010-04-01,1178.0999755859375,0.02611138921501152
2010-04-05,1187.43994140625,0.027679544744034584
2010-04-06,1189.43994140625,0.0280153394480393
2010-04-07,1182.449951171875,0.02684173859716535
2010-04-08,1186.43994140625,0.027511647392032212
2010-04-09,1194.3699951171875,0.028843082411335125
2010-04-12,1196.47998046875,0.02919734336462626
2010-04-13,1197.300048828125,0.029335030670626233
2010-04-14,1210.6500244140625,0.031576456220801324
2010-04-15,1211.6700439453125,0.03174771479908889
2010-04-16,1192.1300048828125,0.028466993982472405
2010-04-19,1197.52001953125,0.029371963169199017
2010-04-20,1207.1700439453125,0.030992176715078257
2010-04-21,1205.93994140625,0.030785645756078284
2010-04-22,1208.6700439453125,0.0312440227430818
2010-04-23,1217.280029296875,0.032689616484388284
2010-04-26,1212.050048828125,0.03181151661266107
2010-04-27,1183.7099609375,0.027053290900310917
2010-04-28,1191.3599853515625,0.02833770974218544
2010-04-29,1206.780029296875,0.030926694288363477
2010-04-30,1186.68994140625,0.027553621730032812
2010-05-03,1202.260009765625,0.030167794978067652
2010-05-04,1173.5999755859375,0.02535585113100089
2010-05-05,1165.8699951171875,0.02405800787926779
2010-05-06,1128.1500244140625,0.01772492468060638
2010-05-07,1110.8800048828125,0.014825334132280432
2010-05-10,1159.72998046875,0.023027115678539406
2010-05-11,1155.7900390625,0.02236560994938558
2010-05-12,1171.6700439453125,0.025031820718994374
2010-05-13,1157.43994140625,0.022642624183963678
2010-05-14,1135.6800537109375,0.018989196660051916
2010-05-17,1136.93994140625,0.019200728467915235
2010-05-18,1120.800048828125,0.016490883242445464
2010-05-19,1115.050048828125,0.015525473468431888
2010-05-20,1071.5899658203125,0.008228640613617277
2010-05-21,1087.68994140625,0.010931783881798857
2010-05-24,1073.6500244140625,0.008574518996477598
2010-05-25,1074.030029296875,0.008638320810049782
2010-05-26,1067.949951171875,0.007617491792894809
2010-05-27,1103.06005859375,0.013512385857546133
2010-05-28,1089.4100341796875,0.011220582903657433
2010-06-01,1070.7099609375,0.008080890124043894
2010-06-02,1098.3800048828125,0.01272661723225088
2010-06-03,1102.8299560546875,0.013473752250548504
2010-06-04,1064.8800048828125,0.007102055940171742
2010-06-07,1050.469970703125,0.0046826493591386464
2010-06-08,1062.0,0.006618510746593642
2010-06-09,1055.68994140625,0.005559068617723262
2010-06-10,1086.8399658203125,0.010789075231653317
2010-06-11,1091.5999755859375,0.011588268266807145
2010-06-14,1089.6300048828125,0.011257515402230217
2010-06-15,1115.22998046875,0.01555568351443426
2010-06-16,1114.6099853515625,0.015451587976004072
2010-06-17,1116.0400390625,0.015691690207291636
2010-06-18,1117.510009765625,0.015938494395867392
2010-06-21,1113.199951171875,0.015214846971001728
2010-06-22,1095.31005859375,0.012211181379527813
